BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0201.a,AcuteagMusic,platform,2018-05-23 19:46:37,I180523001,v1.0.1.0201.a_0523         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagSoundRecorder,platform,2018-05-23 20:09:55,I180523001,v1.0.1.0201.5_0523         
acuteag_dev_1.0.1,v1.0.1.0201.d,AcuteagGallery,shared,2018-05-23 20:37:23,I180523001,v1.0.1.0201.d_0523         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagProvision,platform,2018-05-24 12:35:33,I180524001,v1.0.1.0201.1_0524         
acuteag_dev_1.0.1,v1.0.1.0201.b,AcuteagMusic,platform,2018-05-24 19:48:40,I180524001,v1.0.1.0201.b_0524         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagStore,acuteag3rd,2018-05-25 14:09:31,I180525004,v1.0.1.0101.3_0525         
acuteag_dev_1.0.1,v1.0.1.0101.f,AcuteagMms,platform,2018-05-25 15:11:14,I180525001,v1.0.1.0101.f_0525         
acuteag_dev_1.0.1,v1.0.1.0101.6,AcuteagContacts,shared,2018-05-25 15:27:48,I180525001,v1.0.1.0101.6_0525         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagInCallUI,platform,2018-05-25 15:39:00,I180525001,v1.0.1.0101.5_0525         
acuteag_dev_1.0.1,v1.0.1.0201.c,AcuteagMusic,platform,2018-05-25 19:30:38,I180525001,v1.0.1.0201.c_0525         
acuteag_dev_1.0.1,v1.0.1.0201.f,AcuteagGallery,shared,2018-05-25 19:51:42,I180525001,v1.0.1.0201.f_0525         
acuteag_dev_1.0.1,v1.0.1.0201.b,AcuteagSettings,platform,2018-05-26 16:42:52,I180526001,v1.0.1.0201.b_0526         
